emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,label
0.002876012,-0.010936397,-0.06844211,-0.027905237,0.10048407,-0.08186524,-0.06754797,0.093258984,-0.029998455,0.0033957066,0.0898724,-0.05293021,-0.061224204,0.021710977,0.018533785,0.050487988,-0.01665387,0.049317613,-0.000110141526,-0.042457663,0.0799268,0.03578587,0.03529295,-0.07027364,-0.010002048,-0.023081789,-0.024071258,0.0042714723,-0.06409978,-0.046021923,0.040683754,0.03810436,-0.030112438,0.032540534,-0.0033794593,-0.11776043,-0.0042721876,-0.027775252,-0.10056238,0.021883193,-0.11855127,-0.027684586,0.04953839,0.06088339,0.0024985874,-0.010094839,0.06788058,0.07813948,-0.06840987,-0.074645095,-0.024838228,0.011933054,0.027246706,-0.094727926,-0.059229273,0.010173502,0.0474625,-0.011050214,-0.017962407,0.045053363,0.051050834,-0.03214658,-0.015578239,-0.10529183,-0.027803667
0.003805343,-0.018001148,-0.0520499,-0.027709706,0.10304819,-0.09721686,-0.057928223,0.110400476,-0.031622075,0.00913559,0.10278676,-0.054496773,-0.067583464,0.025464503,0.026318133,0.05161773,-0.018171474,0.056711804,-0.008932178,-0.010349791,0.08133083,0.035796363,0.023901362,-0.078198195,-0.022155028,-0.023818554,-0.006378951,0.005023948,-0.06244595,-0.04745883,0.03983745,0.03999774,-0.031834837,0.040268265,0.010136382,-0.12278142,-0.0037567576,-0.023313535,-0.11356944,0.012064689,-0.11602997,-0.013781559,0.045871016,0.063876785,0.005242589,-0.019639084,0.061852667,0.08219238,-0.06867994,-0.093944214,-0.03461784,0.0044696345,0.03276905,-0.086682305,-0.065761596,0.010140564,0.06286915,-0.020973688,0.0030790376,0.047943052,0.028560037,-0.014141141,-0.004937759,-0.1173861,-0.22518411
0.0027809176,-0.012060003,-0.066380166,-0.02801518,0.10120822,-0.084688105,-0.066170335,0.09540944,-0.030485466,0.0040257713,0.091765136,-0.05287479,-0.062180724,0.021264464,0.019321999,0.0513871,-0.016468376,0.050502073,-0.001464588,-0.037040688,0.08067912,0.03614527,0.033771306,-0.071462885,-0.011803731,-0.023295878,-0.021479936,0.004554738,-0.06382776,-0.045580275,0.040599156,0.038496576,-0.029783592,0.033282008,-0.0015288118,-0.11779897,-0.004078,-0.027201336,-0.102384284,0.0200162,-0.117625155,-0.025481438,0.04933581,0.060987163,0.00291492,-0.011600802,0.06717104,0.07891356,-0.068035305,-0.07732926,-0.025807098,0.01087712,0.027932353,-0.09341388,-0.06032878,0.010111082,0.05023711,-0.012030209,-0.014675653,0.045605816,0.047904354,-0.029600052,-0.014410618,-0.107162826,0.07346037
9.648751e-05,-0.013118679,-0.061616044,-0.02821929,0.09956948,-0.083128616,-0.06061564,0.097624004,-0.032435063,0.0048894812,0.0918993,-0.053762805,-0.06200978,0.02802797,0.021059327,0.0466257,-0.020564552,0.0528534,-0.004190684,-0.0390593,0.07911356,0.0339296,0.03357709,-0.07349614,-0.012313273,-0.022358878,-0.023652926,-0.0011592252,-0.064406574,-0.048343383,0.038102902,0.039088584,-0.031246204,0.036780603,-3.980199e-05,-0.118687116,-0.0035505525,-0.02563632,-0.10728336,0.01929873,-0.116726086,-0.024629962,0.047905732,0.06216838,0.0043364745,-0.011652764,0.06540765,0.07850302,-0.07039806,-0.08509098,-0.02897595,0.010428323,0.031085964,-0.09387064,-0.059956018,0.0121402275,0.048380792,-0.017219411,-0.011599954,0.044191193,0.04376013,-0.024542576,-0.011552571,-0.10557085,0.31658414
0.004217021,-0.007964171,-0.07381286,-0.02851254,0.09916901,-0.07683868,-0.069889046,0.08714748,-0.029275423,0.0016856799,0.08733448,-0.052487243,-0.06194991,0.020872416,0.016486464,0.048427977,-0.015286037,0.045671787,0.004548359,-0.05431632,0.077322796,0.033369068,0.036837246,-0.06866794,-0.007100453,-0.022106566,-0.028397134,0.0035396726,-0.06672396,-0.045030814,0.040731467,0.037683293,-0.030187134,0.029803496,-0.0066589923,-0.11992468,-0.0048713232,-0.031580597,-0.09827693,0.025828434,-0.12199091,-0.032267667,0.049929015,0.05965127,0.0016574329,-0.0051715914,0.06988616,0.07691206,-0.06781186,-0.067021504,-0.02377142,0.01418156,0.024968652,-0.09686547,-0.058904447,0.0101074595,0.04170652,-0.008387272,-0.02554326,0.045246467,0.05721152,-0.038621027,-0.017602768,-0.10307778,1.5254842
0.003341054,-0.008832469,-0.07189857,-0.02920496,0.10024034,-0.07861078,-0.067901485,0.087760106,-0.03075294,0.0012045989,0.087900236,-0.052155122,-0.062780656,0.020396013,0.01594901,0.048637465,-0.014907994,0.046301633,0.0031527884,-0.051332433,0.07810615,0.033384252,0.03627005,-0.07078695,-0.008333328,-0.02249402,-0.027534666,0.0020400737,-0.06679413,-0.04381608,0.04016789,0.038291723,-0.029673822,0.030513568,-0.0055238754,-0.11923431,-0.0044928635,-0.031635195,-0.101013884,0.02394996,-0.12101242,-0.031320587,0.050013714,0.058862627,0.0019542507,-0.00557809,0.069349304,0.07734888,-0.06679494,-0.06979203,-0.024987288,0.013763437,0.026110766,-0.0958828,-0.06015363,0.010917812,0.043342255,-0.009531385,-0.023401055,0.04608775,0.054804314,-0.036018714,-0.016716069,-0.103295624,-0.33885893
0.00037395835,-0.013020644,-0.06516607,-0.028175997,0.09860137,-0.080747865,-0.06282555,0.09506722,-0.029973032,0.003931357,0.09097803,-0.053818904,-0.06145054,0.026546769,0.020625073,0.047332704,-0.018683597,0.052502904,-0.00088078255,-0.04326649,0.0760297,0.035138477,0.034045275,-0.070952095,-0.010165922,-0.02256803,-0.02571992,0.0016189617,-0.06461058,-0.04913668,0.03918444,0.039618194,-0.031218152,0.035015047,-0.001965645,-0.11953409,-0.004389576,-0.025092294,-0.10354161,0.022634115,-0.117876515,-0.025299003,0.048040636,0.062870815,0.0034950196,-0.009563786,0.067269795,0.07731273,-0.06958422,-0.078939974,-0.02663538,0.011660025,0.029595606,-0.0953853,-0.05796178,0.011300962,0.04641354,-0.014794403,-0.016154638,0.04441535,0.047941875,-0.028248765,-0.013604664,-0.10488329,-1.9173152
5.8634003e-05,-0.013400689,-0.06113672,-0.028536793,0.099667,-0.08297811,-0.060646053,0.09807375,-0.032362208,0.0046168393,0.09203922,-0.053929027,-0.062263332,0.028343223,0.021252612,0.04661276,-0.020265413,0.05304223,-0.0040942538,-0.038386334,0.078789845,0.03430868,0.033513848,-0.07341261,-0.012650521,-0.022506414,-0.023361571,-0.0007395593,-0.06431364,-0.04833353,0.03822099,0.039246373,-0.031531554,0.03702017,0.0005808926,-0.118827134,-0.0036133812,-0.025337195,-0.10748583,0.019549368,-0.1169732,-0.024362678,0.0478428,0.062500134,0.0042384537,-0.011907031,0.06527446,0.078376666,-0.07014075,-0.08517358,-0.029083423,0.010535076,0.0312259,-0.093890525,-0.059963476,0.01227751,0.04872036,-0.017492715,-0.011638454,0.04450866,0.04348504,-0.02408889,-0.011457424,-0.105857976,0.92510253
0.0038759287,-0.008135168,-0.07309264,-0.029056817,0.099489465,-0.0775494,-0.0692118,0.08705618,-0.030670846,0.0012966299,0.0875432,-0.05234429,-0.062676005,0.020217909,0.0161978,0.048214026,-0.015221085,0.045505892,0.003846838,-0.053713243,0.077930436,0.033472437,0.036847405,-0.069826886,-0.0076289587,-0.02210122,-0.02817069,0.0028133807,-0.06697501,-0.0441075,0.040677164,0.037556592,-0.029970687,0.030053083,-0.005923204,-0.119102865,-0.0045222617,-0.032419857,-0.09957561,0.024980558,-0.12176219,-0.032351825,0.050112832,0.059202403,0.0013118937,-0.0051616193,0.06951648,0.077179246,-0.06696086,-0.06822461,-0.024518183,0.014538508,0.025443869,-0.09677978,-0.05985511,0.010533685,0.042136922,-0.00876433,-0.024962422,0.045571703,0.05644057,-0.037757102,-0.017204283,-0.10315438,-0.1049329
3.8652193e-05,-0.013286566,-0.061567795,-0.028447252,0.099868774,-0.08257741,-0.06113241,0.097679734,-0.032199323,0.004670744,0.091532744,-0.05377436,-0.061612383,0.028128088,0.020454623,0.046869166,-0.02012741,0.052864417,-0.0040007313,-0.039012406,0.07886501,0.034079406,0.034024563,-0.073177256,-0.011977957,-0.022725634,-0.023799147,-0.0006578724,-0.064447366,-0.04826189,0.038381588,0.039103486,-0.031398527,0.036861062,-5.341918e-05,-0.11872172,-0.0038158165,-0.025448188,-0.106879584,0.01971659,-0.11691254,-0.024864607,0.04803051,0.06210915,0.004157864,-0.011690425,0.065529115,0.078374594,-0.0702796,-0.084574975,-0.028831495,0.010481931,0.031047752,-0.09399857,-0.059630387,0.012246159,0.048123125,-0.016967986,-0.012147759,0.044157002,0.044397943,-0.024791876,-0.011927209,-0.105107635,-1.1882229
0.004002231,-0.007844318,-0.07346299,-0.028856853,0.09927345,-0.07732845,-0.06945119,0.08693942,-0.030235413,0.0014701766,0.08757945,-0.05242046,-0.062468562,0.020558206,0.016542092,0.04812586,-0.015388489,0.045598328,0.0041090073,-0.054168284,0.07793467,0.033391416,0.037058685,-0.069305286,-0.007377756,-0.02199548,-0.028238483,0.0028277896,-0.067008786,-0.044532605,0.040636607,0.037338316,-0.029993203,0.02989918,-0.0063553457,-0.11922584,-0.00451746,-0.03234206,-0.099013105,0.02518471,-0.1216467,-0.032375094,0.050022338,0.059395958,0.0015658651,-0.0051374715,0.06951084,0.077024885,-0.06741358,-0.06788472,-0.024125434,0.014502999,0.025166765,-0.096793704,-0.05969828,0.01033863,0.041922167,-0.008662534,-0.025101291,0.04529759,0.056642175,-0.038112883,-0.017415289,-0.10324784,1.069401
0.0028391122,-0.010386903,-0.06927939,-0.027045846,0.1003219,-0.0791349,-0.06670676,0.092006385,-0.030081669,0.0030596368,0.0880357,-0.052612104,-0.061422225,0.023753693,0.016514305,0.048108317,-0.017750194,0.047701385,0.00026942822,-0.048355423,0.07850634,0.03249329,0.035191216,-0.07051746,-0.008951777,-0.02228196,-0.02604263,0.0013069519,-0.06547237,-0.045317307,0.040062204,0.038197964,-0.03082044,0.033397846,-0.003716755,-0.120079525,-0.005061347,-0.028329907,-0.101645276,0.022541216,-0.120955095,-0.030103693,0.049136303,0.060214788,0.0031143785,-0.008725494,0.068473995,0.07806752,-0.069370136,-0.074344,-0.02686921,0.012239743,0.026837267,-0.09548197,-0.057981957,0.010085827,0.044022616,-0.011312952,-0.019492634,0.044781666,0.052462526,-0.0339941,-0.01473116,-0.10242002,-0.003930809
0.0023936902,-0.010424385,-0.06831972,-0.027291043,0.099779464,-0.080023766,-0.06565476,0.09246671,-0.0305729,0.0037889883,0.08903339,-0.052658074,-0.061326705,0.023956573,0.017264714,0.047922872,-0.018401911,0.048661683,-0.00039223916,-0.047292486,0.07841417,0.03258803,0.034962524,-0.071072005,-0.009284259,-0.022274857,-0.02555041,0.00079393666,-0.06583426,-0.046145312,0.03989079,0.038167253,-0.030692272,0.03390436,-0.0033597276,-0.119733594,-0.004878741,-0.028331745,-0.102408975,0.021976303,-0.12003048,-0.029180273,0.048735913,0.060511835,0.0031440775,-0.008749965,0.06808368,0.07836896,-0.0697332,-0.07604523,-0.027137723,0.011988437,0.027358282,-0.0951535,-0.058693953,0.010529503,0.044289585,-0.012389027,-0.018314237,0.044059504,0.051277418,-0.032807272,-0.014098785,-0.10309236,0.112996295
0.0002717297,-0.0132110845,-0.061469704,-0.028560951,0.09966919,-0.08282438,-0.06109546,0.09792941,-0.03235898,0.004750812,0.09181481,-0.05376948,-0.06183268,0.02823321,0.020695738,0.046755932,-0.020117335,0.0527953,-0.00403382,-0.039103184,0.078542545,0.03394093,0.03365846,-0.07335832,-0.012424466,-0.02279616,-0.023488445,-0.0005787421,-0.0644015,-0.04851915,0.038408853,0.039249375,-0.03157763,0.036988325,0.00027099668,-0.11905908,-0.003753007,-0.025608351,-0.10711029,0.019936971,-0.11726664,-0.024613118,0.04783005,0.06233734,0.0039861286,-0.011652914,0.065685965,0.07851995,-0.070248276,-0.08486017,-0.029251032,0.0104642855,0.031087836,-0.09401461,-0.059834868,0.012393065,0.04814628,-0.017242182,-0.012218127,0.044288103,0.04415146,-0.024729254,-0.011606168,-0.10552246,5.39831
2.607278e-05,-0.012890748,-0.06266926,-0.027952781,0.09893892,-0.08133834,-0.06170595,0.0971463,-0.03106729,0.00457668,0.09112058,-0.054013778,-0.06131153,0.028121265,0.021108478,0.047007665,-0.020451473,0.052663572,-0.0029578889,-0.041051656,0.0783455,0.0347261,0.03440138,-0.07212666,-0.011220625,-0.02224614,-0.024778645,2.9597612e-05,-0.0643121,-0.0489553,0.038314287,0.039438903,-0.031610236,0.036294397,-0.0010848976,-0.11852222,-0.0035589577,-0.0251252,-0.10582795,0.020657515,-0.117113054,-0.02529167,0.048077233,0.06266725,0.003922355,-0.011051752,0.06604737,0.077932544,-0.07073484,-0.082851745,-0.027524225,0.011086404,0.030413521,-0.09439572,-0.05898913,0.012120195,0.047123224,-0.016617276,-0.013749215,0.04423373,0.045699198,-0.026080403,-0.012534131,-0.10508147,1.1768591
0.0034374911,-0.014528865,-0.059186477,-0.027578264,0.10160671,-0.09134931,-0.06231316,0.10290119,-0.031370565,0.006752947,0.09726541,-0.053408116,-0.06512826,0.022557525,0.023103839,0.051927067,-0.017933294,0.053039078,-0.0052638133,-0.023484902,0.08158543,0.03587866,0.028891332,-0.074832916,-0.017612971,-0.02305923,-0.012812429,0.0048871594,-0.06367157,-0.046152744,0.040646486,0.039463367,-0.030626928,0.03676159,0.004761958,-0.11962021,-0.0033162108,-0.025897395,-0.10859557,0.015654732,-0.11696741,-0.019751318,0.04753276,0.06290165,0.0039213537,-0.015844285,0.064757064,0.08098052,-0.06824515,-0.08579783,-0.029907724,0.008408767,0.029511016,-0.0899873,-0.063881226,0.010263638,0.0563939,-0.016570754,-0.006245482,0.0465747,0.038150586,-0.022763468,-0.009257948,-0.11309479,-0.23515859
0.00336275,-0.015403264,-0.057101488,-0.027192533,0.101268075,-0.09351133,-0.060884677,0.10512318,-0.031686317,0.007559911,0.09948451,-0.053999532,-0.06562526,0.023574762,0.024876622,0.05139455,-0.018827897,0.054671228,-0.0066000284,-0.019950738,0.08128225,0.03606184,0.027215144,-0.07592676,-0.018896254,-0.022899343,-0.011070414,0.0046424316,-0.0631824,-0.047699414,0.04037914,0.03930193,-0.030619137,0.038068537,0.006185185,-0.12001836,-0.0034058644,-0.0249118,-0.109834515,0.014729666,-0.11618507,-0.017568745,0.04655526,0.06381782,0.004262003,-0.01700235,0.06398338,0.08119671,-0.06865101,-0.08872221,-0.031183572,0.0073231063,0.030854488,-0.08932967,-0.064156085,0.010359905,0.058101933,-0.018192023,-0.0029383332,0.045838982,0.03520959,-0.020050336,-0.007411792,-0.11465313,-0.18137908
0.003419859,-0.009743839,-0.07107104,-0.027191442,0.1002179,-0.078520894,-0.06775569,0.09048523,-0.02938905,0.0026310836,0.08720009,-0.052587662,-0.0614526,0.022687797,0.016209058,0.04863119,-0.016439168,0.04697707,0.0017051919,-0.05027999,0.078314565,0.032733664,0.035372227,-0.06973214,-0.0086153485,-0.022532556,-0.026912956,0.0020821013,-0.06522816,-0.044669144,0.04001137,0.038346857,-0.03076408,0.03181973,-0.004946103,-0.12029626,-0.0049893083,-0.02922312,-0.100463234,0.023457596,-0.12141499,-0.030827861,0.049545918,0.059805673,0.0027720477,-0.007710782,0.069223866,0.07766103,-0.06883655,-0.07158076,-0.025662357,0.012252942,0.026167361,-0.09552784,-0.057957735,0.009922918,0.043529257,-0.009975037,-0.021507762,0.045550626,0.05400781,-0.035551786,-0.015563982,-0.10220282,-0.35884765
0.0037685458,-0.008504964,-0.073569395,-0.028390829,0.09939284,-0.07721128,-0.06975068,0.0871775,-0.029268693,0.0021803966,0.08693401,-0.05244025,-0.06107098,0.020647872,0.01619738,0.04894474,-0.0155020235,0.046257105,0.0040715504,-0.053072598,0.0776124,0.03380198,0.036870304,-0.06857874,-0.0067973263,-0.02232388,-0.028595863,0.0037939367,-0.06632292,-0.045140248,0.04083347,0.03779619,-0.029740723,0.02953519,-0.0069723325,-0.119420044,-0.004997067,-0.030806206,-0.09789401,0.025515296,-0.12102401,-0.031995337,0.050102457,0.0595852,0.0018253245,-0.0055227424,0.0698157,0.07698212,-0.06775907,-0.06718869,-0.023117317,0.013842997,0.025333408,-0.09704717,-0.058431946,0.009822835,0.042273685,-0.00800293,-0.024951965,0.04478622,0.05716186,-0.038259905,-0.017874291,-0.102716334,0.3511417
